@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE season NUMERIC
@ATTRIBUTE commentCount NUMERIC
@ATTRIBUTE greatComment NUMERIC
@ATTRIBUTE goodComment NUMERIC
@ATTRIBUTE badComment NUMERIC
@ATTRIBUTE location NUMERIC

@DATA
91504682,5438838,4,20151101142721,11,356,241,95,20,42
87482533,5438838,4,20151029220111,10,356,241,95,20,42
873943,5438838,3,20151025193840,10,356,241,95,20,42
61263239,5438838,4,20151024102825,10,356,241,95,20,42
19446681,5438838,5,20151023163928,10,356,241,95,20,42
17483426,5438838,5,20151022074329,10,356,241,95,20,42
66528602,5438838,3,20151017071833,10,356,241,95,20,42
55778203,5438838,5,20151015212607,10,356,241,95,20,42
803977,5438838,5,20151013100658,10,356,241,95,20,42
79906412,5438838,3,20151011024700,10,356,241,95,20,42
19937455,5438838,4,20151009173302,10,356,241,95,20,42
19175761,10433,1,20170528204614,05,360,264,68,28,42
17255180,10433,1,20170409170031,04,360,264,68,28,42
79634620,10433,5,20170323134031,03,360,264,68,28,42
58261042,10433,5,20170306162449,03,360,264,68,28,42
63303018,10433,5,20170205113954,02,360,264,68,28,42
93942843,10433,4,20161215112914,12,360,264,68,28,42
80974703,10433,3,20161201093844,12,360,264,68,28,42
91672464,10433,3,20161123155103,11,360,264,68,28,42
36224497,10433,3,20160831103358,08,360,264,68,28,42
93126362,10433,3,20160828185617,08,360,264,68,28,42
85615391,10433,5,20160822154017,08,360,264,68,28,42
685546,10433,4,20160818131500,08,360,264,68,28,42
84581875,10433,5,20160805085613,08,360,264,68,28,42
31334024,10433,4,20160731161925,07,360,264,68,28,42
93192623,10433,5,20160708060924,07,360,264,68,28,42
19493853,5438819,5,20151125083325,11,249,212,36,1,42
17379596,5438819,5,20151124182342,11,249,212,36,1,42
90166913,5438819,3,20151112230534,11,249,212,36,1,42
73876106,5438819,5,20151014124300,10,249,212,36,1,42
700703,5438819,5,20151011184143,10,249,212,36,1,42
86598277,5438819,5,20151007200527,10,249,212,36,1,42
55311050,5438819,3,20151006232144,10,249,212,36,1,42
87590052,5438819,4,20151002083740,10,249,212,36,1,42
10371721,5438819,4,20150928151759,09,249,212,36,1,42
5702740,5438819,5,20150922201104,09,249,212,36,1,42
86845754,5438819,4,20150916151513,09,249,212,36,1,42
90505982,5438819,5,20150914135652,09,249,212,36,1,42
17563593,5438819,5,20150913221135,09,249,212,36,1,42
50454944,5438819,5,20150912232414,09,249,212,36,1,42
76317479,5438819,5,20150905113609,09,249,212,36,1,42
19988955,5426406,3,20150919123215,09,227,155,49,23,42
49543200,5426406,3,20150918220927,09,227,155,49,23,42
47301651,5426406,4,20150917183135,09,227,155,49,23,42
31264521,5426406,5,20150914074347,09,227,155,49,23,42
31264521,5426406,5,20150914074347,09,227,155,49,23,42
50891966,5426406,4,20150913093357,09,227,155,49,23,42
1143673,5426406,3,20150911134217,09,227,155,49,23,42
17799089,5426406,4,20150911114909,09,227,155,49,23,42
837807,5426406,5,20150908114657,09,227,155,49,23,42
53616213,5426406,4,20150908102128,09,227,155,49,23,42
77671772,5426406,3,20150907224839,09,227,155,49,23,42
278774,5426406,4,20150905153901,09,227,155,49,23,42
