@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE location NUMERIC

@DATA
87184736,5426815,4,20150820,34
55889933,5426815,4,20150905,34
88066231,5426815,4,20150904,34
49643350,5426815,5,20150904,34
50150160,5426815,5,20150903,34
47634520,5426815,5,20150902,34
51765715,5426815,4,20150901,34
70650643,5426815,5,20150901,34
5164535,5426815,4,20150901,34
40249544,5426815,4,20150831,34
10198206,5426815,3,20150831,34
90330154,5426815,4,20150828,34
78459465,5426815,3,20150828,34
926415,5426815,5,20150828,34
19182518,5426815,5,20150828,34
90475469,5426815,4,20150828,34
34791560,10403,2,20151120,34
63385304,10403,5,20151119,34
51096785,10403,3,20151119,34
43780077,10403,4,20151119,34
47612709,10403,4,20151118,34
38639935,10403,3,20151117,34
40535544,10403,3,20151117,34
17347920,10403,5,20151117,34
53188630,10403,4,20151116,34
91622187,10403,3,20151115,34
19437371,10403,3,20151115,34
38908407,10403,3,20151115,34
91640367,10403,4,20151114,34
91485276,10403,4,20151113,34
13017864,10403,4,20151113,34
58480699,6329611,4,20160103,34
91468556,6329611,3,20151111,34
17470407,6329611,4,20151027,34
5206807,6329611,5,20141119,34
36988743,6329611,3,20140226,34
68095974,6329611,4,20151217,34
75675768,6329611,5,20151217,34
67283347,6329611,3,20151216,34
404924,6329611,5,20151216,34
19671335,6329611,5,20151215,34
90330154,6329611,5,20151215,34
44631023,6329611,5,20151215,34
92708603,6329611,5,20151211,34
56002698,6329611,5,20151211,34
34060610,6329611,3,20151210,34
49047782,5426815,3,20150917,34
961369,5426815,4,20150917,34
30730124,5426815,5,20150917,34
86845754,5426815,4,20150916,34
32494674,5426815,4,20150914,34
780714,5426815,4,20150913,34
48113163,5426815,5,20150912,34
42723879,5426815,3,20150912,34
39476901,5426815,5,20150912,34
53059634,5426815,3,20150910,34
68697859,5426815,3,20150910,34
75023873,5426815,4,20150909,34
79831905,5426815,5,20150906,34
71598437,5426815,3,20150906,34
5188202,5426815,4,20150906,34
31667086,10403,4,20151201,34
90405114,10403,5,20151201,34
90200183,10403,4,20151201,34
60943068,10403,4,20151129,34
83265035,10403,5,20151129,34
31276359,10403,4,20151129,34
19493853,10403,4,20151128,34
5425975,10403,5,20151127,34
90327278,10403,5,20151125,34
66563038,10403,3,20151125,34
17379596,10403,5,20151124,34
91571036,10403,5,20151124,34
91567918,10403,4,20151124,34
91949868,10403,4,20151123,34
5599860,10403,3,20151121,34
31742939,6329611,5,20160226,34
86917917,6329611,4,20160224,34
85924734,6329611,3,20160219,34
64881416,6329611,4,20160219,34
68957510,6329611,1,20160209,34
91441114,6329611,5,20160207,34
91471560,6329611,4,20160202,34
61453320,6329611,5,20160201,34
19594695,6329611,4,20160201,34
371633,6329611,5,20160129,34
91579116,6329611,4,20160125,34
41840668,6329611,4,20160120,34
88673983,6329611,5,20160117,34
79953282,6329611,3,20160111,34
64753587,6329611,4,20160104,34
55874624,5426815,3,20151002,34
61115863,5426815,5,20150927,34
10870587,5426815,3,20150927,34
55360116,5426815,5,20150926,34
30092809,5426815,5,20150926,34
56239094,5426815,3,20150925,34
90510515,5426815,5,20150924,34
30567198,5426815,5,20150923,34
48650462,5426815,4,20150923,34
62912917,5426815,4,20150923,34
19519376,5426815,4,20150922,34
58773529,5426815,5,20150921,34
19988955,5426815,3,20150919,34
52068941,5426815,4,20150918,34
288045,5426815,4,20150918,34
477009,32880,5,20170901,42
55871043,32880,3,20151014,42
786147,32880,3,20151008,42
141566,32880,2,20150909,42
48627933,32880,4,20140529,42
74371078,32880,4,20140425,42
727267,32880,3,20140304,42
769105,32880,5,20131214,42
19188369,32880,5,20131203,42
551344,32880,2,20131122,42
629883,32880,4,20131119,42
345581,32880,5,20110419,42
55778203,10403,5,20151213,42
55905464,10403,5,20151213,42
10837899,10403,4,20151211,42
91946924,10403,3,20151210,42
91576149,10403,5,20151210,42
36632332,10403,5,20151209,42
34917359,10403,3,20151208,42
46503194,10403,5,20151207,42
89977468,10403,3,20151206,42
91704334,10403,5,20151204,42
92715677,10403,3,20151204,42
51638113,10403,4,20151203,42
91461921,10403,3,20151203,42
5419454,10403,5,20151203,42
5347770,10403,3,20151202,42
41498457,6329611,5,20160526,42
84439111,6329611,5,20160524,42
90510091,6329611,5,20160519,42
33945034,6329611,4,20160513,42
64887312,6329611,5,20160428,42
45031855,6329611,2,20160419,42
49277890,6329611,5,20160411,42
19445826,6329611,4,20160411,42
17448152,6329611,5,20160405,42
92608181,6329611,4,20160402,42
59495230,6329611,4,20160328,42
5462795,6329611,4,20160323,42
91866655,6329611,5,20160316,42
90327278,6329611,5,20160315,42
92691661,6329611,5,20160311,42
47843961,6325817,5,20150819,42
67008486,6325817,5,20150819,42
76435220,6325817,3,20150819,42
79454732,6325817,4,20150819,42
88328245,6325817,5,20150819,42
17070516,6325817,4,20150819,42
1059738,6325817,4,20150819,42
291598,6325817,4,20150818,42
5359938,6325817,5,20150818,42
82051256,6325817,4,20150818,42
76224671,6325817,5,20150818,42
52603983,6325817,4,20150818,42
62553762,6325817,4,20150818,42
85725722,6325817,3,20150818,42
51307181,6325817,5,20150818,42
573170,5426815,4,20151009,42
34688807,5426815,4,20151008,42
67693751,5426815,5,20151008,42
41597037,5426815,4,20151008,42
1227694,5426815,3,20151008,42
75502242,5426815,4,20151007,42
78783353,5426815,5,20151006,42
17442798,5426815,4,20151006,42
40023053,5426815,5,20151005,42
80646767,5426815,5,20151005,42
75830157,5426815,3,20151004,42
47778505,5426815,3,20151004,42
65322370,5426815,4,20151004,42
177075,5426815,5,20151003,42
1384578230,5426815,3,20151003,42
74577021,10403,5,20151222,42
92947132,10403,5,20151222,42
86574822,10403,5,20151221,42
76435220,10403,3,20151220,42
92752610,10403,5,20151220,42
83061212,10403,3,20151219,42
10444198,10403,5,20151218,42
92905541,10403,3,20151218,42
75070296,10403,3,20151218,42
61103317,10403,3,20151217,42
78246130,10403,3,20151217,42
73002462,10403,4,20151216,42
819105,10403,3,20151215,42
5521536,10403,5,20151214,42
19300384,10403,3,20151213,42
73493549,6329611,4,20160728,42
78800166,6329611,5,20160717,42
39032539,6329611,5,20160715,42
93654701,6329611,4,20160713,42
93665079,6329611,4,20160708,42
79321438,6329611,2,20160704,42
17387057,6329611,5,20160628,42
69350996,6329611,5,20160626,42
93347571,6329611,5,20160621,42
68244632,6329611,5,20160619,42
93289972,6329611,5,20160618,42
44375639,6329611,4,20160614,42
86338322,6329611,5,20160613,42
53905905,6329611,5,20160609,42
41439871,6329611,5,20160605,42
72657393,5426815,4,20151018,42
412034,5426815,5,20151017,42
64854124,5426815,4,20151016,42
55778203,5426815,5,20151015,42
83884121,5426815,3,20151014,42
41696229,5426815,5,20151014,42
13134390,5426815,3,20151014,42
75338284,5426815,3,20151014,42
52532215,5426815,4,20151014,42
64956950,5426815,2,20151013,42
5007853,5426815,2,20151012,42
42718394,5426815,2,20151012,42
51827374,5426815,5,20151011,42
81928271,5426815,4,20151011,42
75543612,5426815,3,20151009,42
17458844,10403,2,20160107,42
93136739,10403,5,20160105,42
91579116,10403,4,20160105,42
17478265,10403,5,20160103,42
44284508,10403,5,20160101,42
91468556,10403,3,20151111,42
51719256,10403,5,20150630,42
279727,10403,4,20150627,42
88976986,10403,4,20140429,42
93011286,10403,5,20151229,42
93005880,10403,5,20151229,42
93000440,10403,4,20151227,42
92958712,10403,5,20151226,42
72742677,10403,3,20151224,42
91617963,10403,4,20151223,42
5286548,6329611,5,20160827,42
75149743,6329611,3,20160818,42
32150398,6329611,4,20160817,42
