@RELATION user-attraction

@ATTRIBUTE user NUMERIC
@ATTRIBUTE item NUMERIC
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE time NUMERIC

@DATA
19763908,9586,5,20160919141629
66165124,9586,3,20160917231827
17104226,9586,4,20160916193101
5544789,9586,3,20160901232458
603454,9586,4,20160828174306
65762401,9586,2,20160827120048
56103152,9586,4,20160822213345
93537113,9586,3,20160816144532
33781820,9586,4,20160811080140
86387792,9586,5,20160810090953
71542683,9586,4,20160807194944
92744260,9586,4,20160801195226
19441100,9586,4,20160801111703
66864663,9586,5,20160730123352
86387792,7691409,5,20170816102544
34151752,7691409,3,20170808150549
85078690,7691409,5,20170630184949
94071993,7691409,3,20170903164507
90401345,7691409,4,20170807085924
37515462,7691409,5,20170329160101
33781820,7691409,4,20160811080959
71542683,7691409,4,20160807200120
77769807,7691409,3,20160720063552
5032175,7691409,3,20160630143713
266064,7691409,3,20160327101218
80048035,7691409,5,20160317190930
50470018,7691409,5,20160316053158
13002777,7691409,4,20160307092004
75675768,7691409,5,20160215104130
49228623,11663,5,20140920190053
55630492,11663,3,20140824001603
775301,11663,5,20140620143141
66861021,11663,4,20140504113327
65372276,11663,4,20131016134337
38329709,11663,3,20131014195351
415650,11663,5,20120329060840
468624,11663,5,20110729091541
19160551,10019,4,20170123183347
90401345,10019,5,20170807085924
85078690,10019,3,20170529111145
88855908,10019,5,20170329220517
37515462,10019,5,20170329160100
10806735,10019,5,20170225123634
90174059,10019,4,20170109142044
55947115,10019,4,20161018170606
17104226,10019,2,20160916193320
5544789,10019,3,20160901232520
33781820,10019,4,20160811080647
71542683,10019,2,20160807195235
19441100,10019,4,20160730234246
39032539,10019,4,20160715220610
80048035,10019,5,20160317190930
76243087,24850,1,20140804161547
45721842,24850,5,20140804151812
155462,24850,5,20140804133035
5469893,24850,4,20140804110841
75988748,24850,4,20140804110502
5462065,24850,5,20140801164251
17192267,24850,4,20140801154111
43961113,24850,3,20140801150603
5161045,24850,4,20140801145805
40885503,24850,5,20140801143117
49914807,24850,5,20140801141533
131559,24850,4,20140801134213
239103,24850,4,20140731180154
5281175,24850,5,20140731170031
486206,24850,3,20140731161526
36228450,6322928,5,20161013110810
19124401,6322928,5,20170827223039
93814475,6322928,4,20170817120253
90401345,6322928,4,20170807085924
53203034,6322928,5,20170730123900
93068480,6322928,3,20170719064416
85078690,6322928,3,20170529110707
34552767,6322928,4,20170410120049
37515462,6322928,5,20170329160101
10806735,6322928,3,20170225123634
72549451,6322928,5,20161230131133
89729725,6322928,4,20161105110223
48462761,6322928,3,20161021200611
75229984,6322928,3,20161010160839
10322927,6322928,1,20161006191829
19185372,6628781,5,20140730163931
72147146,6628781,4,20140728152501
40885503,6628781,5,20140704161155
73909605,6628781,4,20140527202839
258288,6628781,5,20131211121646
38329709,6628781,4,20131016213400
5170797,6628781,5,20131016163328
75780321,6327422,3,20170621163558
46924640,6327422,3,20160517091236
46570889,6327422,5,20160415110509
646104,6327422,4,20151229134703
41039044,6327422,4,20140612222911
17089746,6327422,5,20140304213417
39162470,6327422,4,20131204131302
375868,6327422,5,20131122100905
17164999,6327422,4,20131118100128
50141261,5438722,3,20161122163259
68219050,5438722,5,20151013085223
17314087,5438722,4,20151005174318
5489111,5438722,4,20150223135417
76441127,5438722,4,20150111203814
19131933,5438722,4,20140525233909
68567179,9586,4,20170822163504
38523774,9586,5,20170804125930
73489424,9586,5,20170528103214
90174059,9586,5,20170109142201
93115889,9586,3,20161001132326
90401345,9586,3,20170807085923
34701954,9586,3,20170805122350
85078690,9586,3,20170529110037
88855908,9586,4,20170329220106
10806735,9586,3,20170225123634
44268016,9586,5,20161213110049
93820122,9586,4,20161201115331
35787385,9586,1,20161030210827
93091590,9586,5,20161011221703
